time,region,pre,tmx
1903-06-16,Awdal,0.32500002,37.15
1903-06-16,Bakool,8.325001,31.675
1903-06-16,Bari,3.8291667,33.56667
1903-06-16,Bay,19.342855,31.371428
1903-06-16,Galgaduud,8.111765,32.570587
1903-06-16,Gedo,4.642857,32.628574
1903-06-16,Hiraan,13.427273,32.136364
1903-06-16,Lower Juba,10.241177,31.32941
1903-06-16,Lower Shabelle,33.18,31.090002
1903-06-16,Middle Juba,7.8,31.579998
1903-06-16,Middle Shabelle,27.720001,31.26
1903-06-16,Mudug,5.882353,32.870586
1903-06-16,Nugaal,5.33,32.71
1903-06-16,Sanaag,11.338889,32.15
1903-06-16,Sool,9.016667,32.35
1903-06-16,Togdheer,15.56,31.540003
1903-06-16,Woqooyi Galbeed,6.18,33.77
1903-07-16,Awdal,0.82500005,38.675003
1903-07-16,Bakool,6.4000006,31.175
1903-07-16,Bari,3.375,32.49167
1903-07-16,Bay,23.050001,30.62143
1903-07-16,Galgaduud,4.2705884,31.747055
1903-07-16,Gedo,6.6928573,32.149998
1903-07-16,Hiraan,8.409091,31.390907
1903-07-16,Lower Juba,32.288235,30.547062
1903-07-16,Lower Shabelle,41.590004,30.25
1903-07-16,Middle Juba,27.7,30.820002
1903-07-16,Middle Shabelle,27.640003,30.36
1903-07-16,Mudug,0.582353,31.935291
1903-07-16,Nugaal,0.39000002,31.87
1903-07-16,Sanaag,9.511111,31.866665
1903-07-16,Sool,2.45,31.991669
1903-07-16,Togdheer,8.339999,31.65
1903-07-16,Woqooyi Galbeed,6.0,34.33
1903-08-16,Awdal,13.6,37.875
1903-08-16,Bakool,4.1125,31.375
1903-08-16,Bari,5.879167,32.558334
1903-08-16,Bay,12.528572,30.84286
1903-08-16,Galgaduud,2.8235295,31.935295
1903-08-16,Gedo,3.3071427,32.278572
1903-08-16,Hiraan,5.572727,31.618181
1903-08-16,Lower Juba,20.141178,30.764706
1903-08-16,Lower Shabelle,24.1,30.429998
1903-08-16,Middle Juba,17.6,31.1
1903-08-16,Middle Shabelle,18.039999,30.540003
1903-08-16,Mudug,0.6588235,32.135292
1903-08-16,Nugaal,1.72,32.06
1903-08-16,Sanaag,12.111111,31.777779
1903-08-16,Sool,3.8583333,31.983335
1903-08-16,Togdheer,12.0199995,31.35
1903-08-16,Woqooyi Galbeed,16.66,33.79
1903-09-16,Awdal,199.875,35.225
1903-09-16,Bakool,11.325001,32.5
1903-09-16,Bari,7.2166667,33.754166
1903-09-16,Bay,8.25,31.850002
1903-09-16,Galgaduud,6.347059,33.02941
1903-09-16,Gedo,4.4357142,33.392857
1903-09-16,Hiraan,8.845455,32.68182
1903-09-16,Lower Juba,10.494118,31.576473
1903-09-16,Lower Shabelle,9.190001,31.27
1903-09-16,Middle Juba,7.54,32.0
1903-09-16,Middle Shabelle,9.74,31.5
1903-09-16,Mudug,3.3764706,33.358826
1903-09-16,Nugaal,5.7300005,33.41
1903-09-16,Sanaag,19.144445,32.366665
1903-09-16,Sool,12.533333,32.891666
1903-09-16,Togdheer,63.05,31.680002
1903-09-16,Woqooyi Galbeed,196.76,33.02
1903-10-16,Awdal,25.35,32.475002
1903-10-16,Bakool,89.3,32.2125
1903-10-16,Bari,18.074999,32.25
1903-10-16,Bay,69.32143,32.035713
1903-10-16,Galgaduud,55.423534,32.958824
1903-10-16,Gedo,51.778572,33.171425
1903-10-16,Hiraan,77.91818,32.70909
1903-10-16,Lower Juba,2.7764707,32.388237
1903-10-16,Lower Shabelle,44.600002,31.810001
1903-10-16,Middle Juba,9.3,32.52
1903-10-16,Middle Shabelle,76.259995,31.880001
1903-10-16,Mudug,40.311764,33.011765
1903-10-16,Nugaal,34.030003,32.5
1903-10-16,Sanaag,22.011112,30.194445
1903-10-16,Sool,32.391666,31.35
1903-10-16,Togdheer,43.29,30.039999
1903-10-16,Woqooyi Galbeed,33.05,30.95
1903-11-16,Awdal,0.175,29.9
1903-11-16,Bakool,64.387505,31.825
1903-11-16,Bari,8.141666,30.295837
1903-11-16,Bay,63.264286,31.928574
1903-11-16,Galgaduud,33.105885,32.68235
1903-11-16,Gedo,60.31429,32.635715
1903-11-16,Hiraan,55.02728,32.554546
1903-11-16,Lower Juba,4.8647056,33.052944
1903-11-16,Lower Shabelle,58.75,32.0
1903-11-16,Middle Juba,14.040001,32.78
1903-11-16,Middle Shabelle,69.600006,32.0
1903-11-16,Mudug,26.670588,32.41765
1903-11-16,Nugaal,14.610001,31.130001
1903-11-16,Sanaag,5.766667,27.983334
