time,admin1,tmx,pre
1903-02,Galgaduud,33.56471,1.4352942
1903-02,Gedo,36.300003,4.2642856
1903-02,Hiraan,34.281822,1.2090908
1903-02,Lower Juba,34.447056,0.2647059
1903-02,Lower Shabelle,33.47,0.71
1903-02,Middle Juba,34.78,0.6
1903-02,Middle Shabelle,33.0,3.4800003
1903-02,Mudug,32.600002,0.9117647
1903-02,Nugaal,31.0,1.4300001
1903-02,Sanaag,27.983334,3.5166664
1903-02,Sool,29.808332,1.6166667
1903-02,Togdheer,29.289999,3.7899997
1903-02,Woqooyi Galbeed,29.940002,3.85
1903-03,Awdal,31.850002,6.2250004
1903-03,Bakool,35.425003,23.7
1903-03,Banadir,34.135,15.440000000000001
1903-03,Bari,31.395834,6.991667
1903-03,Bay,35.157143,16.935713
1903-03,Galgaduud,34.658825,9.570589
1903-03,Gedo,36.757145,21.2
1903-03,Hiraan,35.18182,16.40909
1903-03,Lower Juba,35.082355,1.7235293
1903-03,Lower Shabelle,34.29,10.08
1903-03,Middle Juba,35.46,3.7400002
1903-03,Middle Shabelle,33.98,20.8
1903-03,Mudug,33.84706,6.694118
1903-03,Nugaal,32.440002,5.85
1903-03,Sanaag,29.372223,8.538889
1903-03,Sool,31.050001,4.608333
1903-03,Togdheer,30.309998,6.4800005
1903-03,Woqooyi Galbeed,30.8,7.78
1903-04,Awdal,32.500004,5.575
1903-04,Bakool,34.375,117.625
1903-04,Banadir,34.0150035,80.125
1903-04,Bari,32.9375,19.920834
1903-04,Bay,34.107143,117.17143
1903-04,Galgaduud,34.95294,49.376472
1903-04,Gedo,34.935715,105.84286
1903-04,Hiraan,34.918186,78.79092
1903-04,Lower Juba,33.85882,57.923527
1903-04,Lower Shabelle,33.910004,89.55
1903-04,Middle Juba,34.3,75.02
1903-04,Middle Shabelle,34.120003,70.7
1903-04,Mudug,34.67059,26.905882
1903-04,Nugaal,33.54,25.2
1903-04,Sanaag,30.566668,31.266666
1903-04,Sool,32.008335,33.975002
1903-04,Togdheer,30.719997,46.890003
1903-04,Woqooyi Galbeed,31.25,18.890001
1903-05,Awdal,34.575,12.0
1903-05,Bakool,32.537502,85.450005
1903-05,Banadir,32.429999,78.7700025
1903-05,Bari,34.195835,21.470835
1903-05,Bay,32.335716,77.26429
1903-05,Galgaduud,33.747063,60.217648
1903-05,Gedo,33.32857,52.585712
1903-05,Hiraan,33.227276,79.48182
1903-05,Lower Juba,32.34118,38.505886
1903-05,Lower Shabelle,32.28,73.8
1903-05,Middle Juba,32.74,34.079998
1903-05,Middle Shabelle,32.579998,83.740005
1903-05,Mudug,34.11765,49.735294
1903-05,Nugaal,33.79,39.510002
1903-05,Sanaag,31.866665,35.38889
1903-05,Sool,32.61667,43.041668
1903-05,Togdheer,31.25,54.1
1903-05,Woqooyi Galbeed,32.480003,28.51
1903-06,Awdal,37.15,0.32500002
1903-06,Bakool,31.675,8.325001
1903-06,Banadir,31.175001,30.4500005
1903-06,Bari,33.56667,3.8291667
1903-06,Bay,31.371428,19.342855
1903-06,Galgaduud,32.570587,8.111765
1903-06,Gedo,32.628574,4.642857
1903-06,Hiraan,32.136364,13.427273
1903-06,Lower Juba,31.32941,10.241177
1903-06,Lower Shabelle,31.090002,33.18
1903-06,Middle Juba,31.579998,7.8
1903-06,Middle Shabelle,31.26,27.720001
1903-06,Mudug,32.870586,5.882353
1903-06,Nugaal,32.71,5.33
1903-06,Sanaag,32.15,11.338889
1903-06,Sool,32.35,9.016667
1903-06,Togdheer,31.540003,15.56
1903-06,Woqooyi Galbeed,33.77,6.18
1903-07,Awdal,38.675003,0.82500005
1903-07,Bakool,31.175,6.4000006
1903-07,Banadir,30.305,34.6150035
1903-07,Bari,32.49167,3.375
1903-07,Bay,30.62143,23.050001
1903-07,Galgaduud,31.747055,4.2705884
1903-07,Gedo,32.149998,6.6928573
1903-07,Hiraan,31.390907,8.409091
1903-07,Lower Juba,30.547062,32.288235
1903-07,Lower Shabelle,30.25,41.590004
1903-07,Middle Juba,30.820002,27.7
1903-07,Middle Shabelle,30.36,27.640003
1903-07,Mudug,31.935291,0.582353
1903-07,Nugaal,31.87,0.39000002
1903-07,Sanaag,31.866665,9.511111
1903-07,Sool,31.991669,2.45
1903-07,Togdheer,31.65,8.339999
1903-07,Woqooyi Galbeed,34.33,6.0
1903-08,Awdal,37.875,13.6
1903-08,Bakool,31.375,4.1125
1903-08,Banadir,30.485000499999998,21.0699995
1903-08,Bari,32.558334,5.879167
