time,admin1,spei
1904-04-16,Galgaduud,0.31134963
1904-04-16,Gedo,-0.052835427
1904-04-16,Hiraan,0.282454
1904-04-16,Lower Juba,-1.4816278
1904-04-16,Lower Shabelle,-0.442827
1904-04-16,Middle Juba,-1.5512929
1904-04-16,Middle Shabelle,0.25558618
1904-04-16,Mudug,0.36674193
1904-04-16,Nugaal,0.3714869
1904-04-16,Sanaag,0.11954682
1904-04-16,Sool,0.32434914
1904-04-16,Togdheer,0.052811485
1904-04-16,Woqooyi Galbeed,-0.8802675
1904-05-16,Awdal,-0.8225341
1904-05-16,Bakool,0.45443168
1904-05-16,Bari,0.23053987
1904-05-16,Bay,0.39852715
1904-05-16,Galgaduud,0.369892
1904-05-16,Gedo,0.37784177
1904-05-16,Hiraan,0.37721434
1904-05-16,Lower Juba,0.37463343
1904-05-16,Lower Shabelle,0.30716532
1904-05-16,Middle Juba,0.24633646
1904-05-16,Middle Shabelle,0.37086105
1904-05-16,Mudug,0.27386096
1904-05-16,Nugaal,0.31981537
1904-05-16,Sanaag,0.22995083
1904-05-16,Sool,0.19023633
1904-05-16,Togdheer,-0.050987296
1904-05-16,Woqooyi Galbeed,-0.6826354
1904-06-16,Awdal,-2.0555692
1904-06-16,Bakool,-0.10726018
1904-06-16,Bari,0.22087683
1904-06-16,Bay,0.5168486
1904-06-16,Galgaduud,0.18436721
1904-06-16,Gedo,-0.11619512
1904-06-16,Hiraan,0.37562612
1904-06-16,Lower Juba,0.9014959
1904-06-16,Lower Shabelle,0.6063262
1904-06-16,Middle Juba,0.8444126
1904-06-16,Middle Shabelle,0.44952673
1904-06-16,Mudug,0.40267608
1904-06-16,Nugaal,0.36915398
1904-06-16,Sanaag,-0.23521055
1904-06-16,Sool,0.09987905
1904-06-16,Togdheer,-0.6925059
1904-06-16,Woqooyi Galbeed,-1.6455469
