time,admin1,conflicts,TA,PA,DL
2001-08-16,Sanaag,0.0,0.2166322304249127,-0.3284416365029456,6
2001-09-16,Sanaag,0.0,0.1771508174921956,0.413952829199707,7
2001-10-16,Sanaag,0.0,-0.4529774473209766,0.9578619959453836,0
2001-11-16,Sanaag,0.0,-0.4329907958651715,0.3224743758019015,0
2001-12-16,Sanaag,0.0,-0.9334099556496,-0.2993261394910777,0
2002-01-16,Sanaag,0.0,-0.8758792114950804,-0.8115707678803177,0
2002-02-15,Sanaag,0.0,-0.1348260780781592,-0.0580771532923256,0
2002-03-16,Sanaag,0.0,0.4813245898749705,0.570242464749009,1
2002-04-16,Sanaag,0.0,1.0576164712068998,1.1321456922492317,2
2002-05-16,Sanaag,0.0,1.0194830814505471,0.9835492827524176,3
2002-06-16,Sanaag,0.0,0.8587318586911462,0.234635714301409,4
2002-07-16,Sanaag,0.0,0.1393529789279685,-0.3589320515552505,5
2002-08-16,Sanaag,0.0,-0.4845913096875535,-0.3284416365029373,0
2002-09-16,Sanaag,0.0,-0.3269674149982776,0.413952829199717,0
2002-10-16,Sanaag,0.0,-0.3324330015726314,0.9578619959453946,0
2002-11-16,Sanaag,0.0,-0.305833962507108,0.3224743758019033,0
2002-12-16,Sanaag,0.0,-1.001234241620136,-0.2993261394910774,0
2003-01-16,Sanaag,0.0,-0.7846616290979952,-0.8115707678803196,0
2003-02-15,Sanaag,0.0,-0.1469072892068362,-0.0580771532923138,0
2003-03-16,Sanaag,0.0,0.48811717775354,0.5702424647490224,1
2003-04-16,Sanaag,0.0,1.0257953627137677,1.1321456922492468,2
2003-05-16,Sanaag,0.0,0.977440631956898,0.9835492827524192,3
2003-06-16,Sanaag,0.0,0.8480143742482299,0.2346357143014091,4
2003-07-16,Sanaag,0.0,0.0981112258561103,-0.3589320515552505,5
2003-08-16,Sanaag,0.0,-0.4204271792016252,-0.3284416365029289,0
2003-09-16,Sanaag,0.0,-0.9402389062753748,0.4139528291997269,0
2003-10-16,Sanaag,0.0,-0.9439551938533132,0.9578619959454054,0
2003-11-16,Sanaag,0.0,-1.1052391991714232,0.3224743758019053,0
2003-12-16,Sanaag,0.0,-1.0724904736058856,-0.2993261394910769,0
2004-01-16,Sanaag,0.0,-0.7186594865049459,-0.8115707678803217,0
2004-02-15,Sanaag,2.0,-0.083179497219698,-0.0580771532923021,0
2004-03-16,Sanaag,0.0,0.6389178925056713,0.570242464749036,1
2004-04-16,Sanaag,0.0,0.9865530945979688,1.1321456922492616,2
2004-05-16,Sanaag,0.0,1.052528147293132,0.9835492827524208,3
2004-06-16,Sanaag,0.0,0.7862392058787782,0.2346357143014091,4
2004-07-16,Sanaag,0.0,0.2014392591980757,-0.3589320515552507,5
2004-08-16,Sanaag,0.0,-0.47008692918959,-0.3284416365029207,0
2004-09-16,Sanaag,0.0,-0.2141297067551391,0.4139528291997367,0
2004-10-16,Sanaag,0.0,-0.3312665088210214,0.9578619959454162,0
2004-11-16,Sanaag,0.0,-0.3037769091117329,0.3224743758019073,0
2004-12-16,Sanaag,2.0,-1.0042932665257176,-0.2993261394910765,0
2005-01-16,Sanaag,6.0,-0.7581645028106307,-0.8115707678803236,0
2005-02-15,Sanaag,0.0,-0.0895245625719782,-0.0580771532922904,0
2005-03-16,Sanaag,1.0,0.5707176673979321,0.5702424647490493,1
2005-04-16,Sanaag,2.0,1.0355001958623455,1.132145692249277,2
2005-05-16,Sanaag,0.0,0.9775944667699376,0.9835492827524224,3
2005-06-16,Sanaag,1.0,0.5300863948406412,0.2346357143014092,4
2005-07-16,Sanaag,0.0,0.143351963756615,-0.3589320515552507,5
2005-08-16,Sanaag,0.0,0.18149833236036,-0.3284416365029124,6
2005-09-16,Sanaag,4.0,0.6380534764901014,0.4139528291997466,7
2005-10-16,Sanaag,2.0,0.3217042877202061,0.9578619959454268,8
2005-11-16,Sanaag,2.0,-0.3621945910666518,0.3224743758019092,0
2005-12-16,Sanaag,0.0,-1.0370640597759897,-0.2993261394910761,0
2006-01-16,Sanaag,0.0,-0.7697405392732942,-0.8115707678803256,0
2006-02-15,Sanaag,4.0,-0.0719132865290786,-0.0580771532922785,0
2006-03-16,Sanaag,3.0,0.5331782880128958,0.5702424647490628,1
2006-04-16,Sanaag,0.0,1.0005321700298266,1.132145692249292,2
2006-05-16,Sanaag,2.0,0.9864789370314904,0.9835492827524244,3
2006-06-16,Sanaag,0.0,0.9303611067326806,0.2346357143014092,4
2006-07-16,Sanaag,0.0,0.1887362888541463,-0.358932051555251,5
2006-08-16,Sanaag,4.0,-0.432457894328018,-0.3284416365029041,0
2006-09-16,Sanaag,1.0,-0.2662313636622287,0.4139528291997565,0
2006-10-16,Sanaag,0.0,-0.2226479830054323,0.9578619959454376,0
2006-11-16,Sanaag,0.0,-0.3022468256045178,0.3224743758019113,0
2006-12-16,Sanaag,0.0,-1.0097904096417425,-0.2993261394910758,0
2007-01-16,Sanaag,1.0,-0.7965368063885531,-0.8115707678803276,0
2007-02-15,Sanaag,0.0,-0.0784724755396425,-0.0580771532922668,0
2007-03-16,Sanaag,4.0,0.5636543677835855,0.570242464749076,1
2007-04-16,Sanaag,0.0,0.9917407463979628,1.132145692249307,2
2007-05-16,Sanaag,2.0,0.9806621068490116,0.983549282752426,3
2007-06-16,Sanaag,0.0,0.796751113047878,0.2346357143014092,4
2007-07-16,Sanaag,3.0,0.1194670043308276,-0.358932051555251,5
2007-08-16,Sanaag,2.0,-0.2605522649846875,-0.3284416365028957,0
2007-09-16,Sanaag,0.0,-0.0346252561609859,0.4139528291997664,0
2007-10-16,Sanaag,0.0,-0.0231558068404406,0.9578619959454484,0
2007-11-16,Sanaag,0.0,-0.3416823207573524,0.3224743758019131,0
2007-12-16,Sanaag,0.0,-1.018678747982718,-0.2993261394910754,0
2008-01-16,Sanaag,0.0,-0.7200635495852952,-0.8115707678803296,0
2008-02-15,Sanaag,0.0,-0.0957257058126362,-0.058077153292255,0
2008-03-16,Sanaag,2.0,0.5224027980225271,0.5702424647490896,1
2008-04-16,Sanaag,0.0,0.9704854281255448,1.132145692249322,2
2008-05-16,Sanaag,4.0,0.9573376000297928,0.9835492827524276,3
2008-06-16,Sanaag,4.0,0.7611479933060733,0.2346357143014092,4
2008-07-16,Sanaag,0.0,0.108225123120371,-0.3589320515552512,5
2008-08-16,Sanaag,1.0,0.1928171871415392,-0.3284416365028875,6
2008-09-16,Sanaag,0.0,0.4581509125571359,0.4139528291997763,7
2008-10-16,Sanaag,0.0,0.3585262256276746,0.9578619959454592,8
2008-11-16,Sanaag,0.0,-0.3409492141074233,0.3224743758019152,0
2008-12-16,Sanaag,0.0,-0.989706333769408,-0.299326139491075,0
2009-01-16,Sanaag,1.0,-0.7427570514202612,-0.8115707678803314,0
2009-02-15,Sanaag,2.0,-0.0271642716634141,-0.0580771532922432,0
2009-03-16,Sanaag,1.0,0.5877539225321522,0.5702424647491031,1
2009-04-16,Sanaag,0.0,1.0462883918776809,1.1321456922493371,2
2009-05-16,Sanaag,0.0,0.988700187217846,0.9835492827524294,3
2009-06-16,Sanaag,0.0,0.9061206113848445,0.2346357143014092,4
2009-07-16,Sanaag,2.0,0.1920735318766368,-0.3589320515552512,5
2009-08-16,Sanaag,1.0,-0.0903127934142469,-0.3284416365028791,0
2009-09-16,Sanaag,0.0,0.00477465010046,0.4139528291997862,1
2009-10-16,Sanaag,4.0,0.0110302698563801,0.95786199594547,2
2009-11-16,Sanaag,0.0,-0.326901910180155,0.3224743758019173,0
2009-12-16,Sanaag,0.0,-0.9776048292989,-0.2993261394910745,0
1997-06-16,Sool,0.0,0.6365067728702573,0.2712061058734142,1
1997-07-16,Sool,0.0,0.4231448298060096,-0.3531687874794492,2
1997-08-16,Sool,0.0,0.1183702884850556,-0.7368119365784102,3
1997-09-16,Sool,0.0,0.4794996554840291,0.0167975728202579,4
1997-10-16,Sool,0.0,0.0880720790382084,0.6308224287993446,5
1997-11-16,Sool,0.0,-0.2473281131012284,0.5226293922153193,0
1997-12-16,Sool,0.0,-1.0006274048181325,-0.1199437595638743,0
1998-01-16,Sool,0.0,-0.6497748405404945,-0.6823070362234822,0
1998-02-15,Sool,0.0,-0.0311463387687979,-0.066898428215698,0
1998-03-16,Sool,0.0,0.6683051975095385,0.5676285158003992,1
1998-04-16,Sool,0.0,0.9507449626976632,1.1403289365467264,2
1998-05-16,Sool,0.0,0.9703578676097706,1.0208133048874404,3
1998-06-16,Sool,0.0,0.8851179868143751,0.2768983328215164,4
1998-07-16,Sool,0.0,0.234228643561045,-0.3475231647628791,5
1998-08-16,Sool,0.0,-0.3374709554395953,-0.7301865167082493,0
1998-09-16,Sool,0.0,-0.1958391531727782,0.0211470700045832,0
1998-10-16,Sool,0.0,-0.1211723493493328,0.6350984352010567,0
1998-11-16,Sool,0.0,-0.236386005760972,0.5171211080643197,0
1998-12-16,Sool,0.0,-0.9580294039088684,-0.1218394412314011,0
1999-01-16,Sool,0.0,-0.6698836163925027,-0.6852567110020065,0
1999-02-15,Sool,0.0,0.0050859665038962,-0.0645676386205949,1
1999-03-16,Sool,2.0,0.5453730087325058,0.566085306324026,2
1999-04-16,Sool,0.0,0.9478289046218736,1.1399843075511982,3
1999-05-16,Sool,0.0,0.8471968320073295,1.0190684608057765,4
1999-06-16,Sool,0.0,0.3367138092900211,0.2755848460935195,5
1999-07-16,Sool,0.0,-0.3307888627912611,-0.3475679307309011,0
1999-08-16,Sool,0.0,-0.92017482414344,-0.7274997183898999,0
1999-09-16,Sool,0.0,-0.2402412068206757,0.0251303312611168,0
1999-10-16,Sool,0.0,-0.2370833887186644,0.6357234898061135,0
1999-11-16,Sool,0.0,-0.1962072143547708,0.509979706298885,0
1999-12-16,Sool,2.0,-0.9117127838297115,-0.1304067024943824,0
2000-01-16,Sool,0.0,-0.7317414465621005,-0.6914804484843312,0
2000-02-15,Sool,0.0,-0.0638376503711929,-0.0649874293019963,0
2000-03-16,Sool,0.0,0.5743544915121932,0.5658419830328746,1
2000-04-16,Sool,2.0,1.040817854806577,1.1395459567599218,2
2000-05-16,Sool,0.0,0.8345809848861377,1.0272895651901688,3
2000-06-16,Sool,0.0,0.7910414605955675,0.2879248446174649,4
2000-07-16,Sool,0.0,0.0558409985954128,-0.3342107233056733,5
2000-08-16,Sool,2.0,-0.4214899889190248,-0.7117243299537849,0
2000-09-16,Sool,0.0,-0.3090387090490676,0.0350543315878275,0
2000-10-16,Sool,0.0,-0.2488341125655889,0.646607655475154,0
2000-11-16,Sool,0.0,-0.2397116677783748,0.5153371714852236,0
2000-12-16,Sool,0.0,-0.9699615981820586,-0.1236892097923397,0
2001-01-16,Sool,0.0,-0.7869693996569064,-0.6867736261143582,0
2001-02-15,Sool,0.0,-0.121691033561986,-0.0657222926148356,0
2001-03-16,Sool,0.0,0.589581567678927,0.5656879071871269,1
2001-04-16,Sool,0.0,1.0705835473419194,1.139365519050586,2
2001-05-16,Sool,0.0,0.8324789218439266,1.0165120177621192,3
2001-06-16,Sool,0.0,0.1647725541339156,0.2729626626191171,4
2001-07-16,Sool,0.0,-0.2820705499229388,-0.3513683715041624,0
2001-08-16,Sool,0.0,-0.7961803992451424,-0.7357179581537693,0
2001-09-16,Sool,0.0,-0.1680520695704411,0.0173563556409293,0
2001-10-16,Sool,0.0,-0.1649894725046011,0.6303453967259508,0
2001-11-16,Sool,0.0,-0.1512877601588932,0.5157101031766186,0
2001-12-16,Sool,2.0,-0.7326037708796829,-0.1253035096048374,0
2002-01-16,Sool,0.0,-0.8788638482765444,-0.6872901661608014,0
2002-02-15,Sool,0.0,-0.1265493609585885,-0.0655608346619121,0
2002-03-16,Sool,0.0,0.4760801726307557,0.565927819467842,1
2002-04-16,Sool,4.0,1.0534901354881978,1.139256469062064,2
2002-05-16,Sool,0.0,1.0047211866236383,1.016512017762114,3
2002-06-16,Sool,0.0,0.6981572871343085,0.272962662619117,4
2002-07-16,Sool,0.0,0.0377397784450847,-0.3513683715041626,5
2002-08-16,Sool,0.0,-0.6070401741273715,-0.7357179581537706,0
2002-09-16,Sool,0.0,-0.2984086983486347,0.0173563556409301,0
2002-10-16,Sool,0.0,-0.3543010177261393,0.6303453967259517,0
2002-11-16,Sool,2.0,-0.2595780974000977,0.5157101031766205,0
2002-12-16,Sool,0.0,-0.9708980206998508,-0.1253035096048376,0
2003-01-16,Sool,0.0,-0.7377666650355567,-0.687290166160803,0
2003-02-15,Sool,0.0,-0.1394080611891196,-0.0655608346618161,0
2003-03-16,Sool,0.0,0.4957329371960464,0.5659278194679475,1
2003-04-16,Sool,0.0,1.010997659557997,1.139256469062171,2
2003-05-16,Sool,0.0,0.9520021697732236,1.0165120177621232,3
2003-06-16,Sool,0.0,0.6173249714537958,0.2729626626191171,4
2003-07-16,Sool,0.0,-0.1127616771633143,-0.3513683715041627,0
2003-08-16,Sool,0.0,-0.5767182880393614,-0.735717958153772,0
2003-09-16,Sool,0.0,-0.4069752757021496,0.0173563556409307,0
2003-10-16,Sool,0.0,-0.4354483417978069,0.6303453967259528,0
2003-11-16,Sool,0.0,-0.6612192870393235,0.5157101031766226,0
2003-12-16,Sool,0.0,-1.1055076129128218,-0.1253035096048375,0
2004-01-16,Sool,0.0,-0.6875771617155332,-0.6872901661608045,0
2004-02-15,Sool,0.0,-0.0694273660026776,-0.0655608346617199,0
2004-03-16,Sool,0.0,0.6665370847717275,0.5659278194680529,1
2004-04-16,Sool,1.0,0.9513828540886452,1.1392564690622775,2
2004-05-16,Sool,0.0,1.0489589290506427,1.0165120177621327,3
2004-06-16,Sool,4.0,0.5678473674606537,0.2729626626191173,4
2004-07-16,Sool,0.0,-0.0086304869037604,-0.3513683715041627,0
2004-08-16,Sool,0.0,-0.3761832776567278,-0.7357179581537733,0
2004-09-16,Sool,0.0,0.1021108812400011,0.0173563556409315,1
2004-10-16,Sool,0.0,-0.016669998201651,0.6303453967259537,0
2004-11-16,Sool,0.0,-0.2661502075504772,0.5157101031766245,0
2004-12-16,Sool,2.0,-0.9933075754587064,-0.1253035096048376,0
2005-01-16,Sool,2.0,-0.7198269646228498,-0.687290166160806,0
2005-02-15,Sool,2.0,-0.0714712005027961,-0.0655608346616238,0
2005-03-16,Sool,2.0,0.5915215909940638,0.5659278194681584,1
2005-04-16,Sool,2.0,1.01694468748162,1.1392564690623848,2
2005-05-16,Sool,0.0,0.9078594639504044,1.0165120177621425,3
2005-06-16,Sool,0.0,0.2182492143410956,0.2729626626191173,4
2005-07-16,Sool,0.0,-0.1822417847967986,-0.3513683715041629,0
2005-08-16,Sool,0.0,-0.1048782549012898,-0.7357179581537746,0
2005-09-16,Sool,2.0,0.6166378320920967,0.0173563556409322,1
2005-10-16,Sool,4.0,0.3574238560654267,0.6303453967259547,2
2005-11-16,Sool,0.0,-0.3168500930641079,0.5157101031766264,0
2005-12-16,Sool,0.0,-1.013039362873991,-0.1253035096048377,0
2006-01-16,Sool,1.0,-0.7514550568568615,-0.6872901661608074,0
2006-02-15,Sool,2.0,-0.0537744977837367,-0.0655608346615277,0
2006-03-16,Sool,0.0,0.535455222784359,0.5659278194682639,1
2006-04-16,Sool,0.0,0.9756987162223328,1.1392564690624911,2
2006-05-16,Sool,2.0,0.9661490094242594,1.0165120177621518,3
2006-06-16,Sool,0.0,0.8208257980824941,0.2729626626191173,4
2006-07-16,Sool,0.0,0.0940231929421106,-0.351368371504163,5
2006-08-16,Sool,0.0,-0.5224371195353847,-0.7357179581537759,0
2006-09-16,Sool,0.0,-0.2358609315276607,0.017356355640933,0
2006-10-16,Sool,0.0,-0.0927066948277933,0.6303453967259557,0
2006-11-16,Sool,0.0,-0.1885738546870264,0.5157101031766284,0
2006-12-16,Sool,0.0,-0.910643927753206,-0.1253035096048378,0
2007-01-16,Sool,2.0,-0.7876594282583534,-0.687290166160809,0
2007-02-15,Sool,0.0,-0.0624109125443431,-0.0655608346614317,0
2007-03-16,Sool,0.0,0.5850892799777184,0.5659278194683693,1
2007-04-16,Sool,3.0,0.959756730751896,1.1392564690625984,2
2007-05-16,Sool,0.0,0.9549549493906384,1.0165120177621614,3
2007-06-16,Sool,2.0,0.5493591480583738,0.2729626626191173,4
2007-07-16,Sool,0.0,-0.082119456979426,-0.3513683715041631,0
2007-08-16,Sool,2.0,-0.4519493570089015,-0.7357179581537773,0
2007-09-16,Sool,19.0,0.0054173562082995,0.0173563556409337,1
