time,region,PRECTOTCORR,T2M_MAX
199907.0,Awdal,1.915,37.7775
199907.0,Bakool,0.2125,33.38875
199907.0,Bari,0.82333344,35.260418
199907.0,Bay,0.63571423,33.765713
199907.0,Galgaduud,0.40235293,33.798824
199907.0,Gedo,0.42428568,33.805
199907.0,Hiraan,0.11545455,34.27
199907.0,Lower Juba,0.8458823,33.074707
199907.0,Lower Shabelle,0.521,32.769
199907.0,Middle Juba,0.818,33.592003
199907.0,Middle Shabelle,0.014,31.714
199907.0,Mudug,0.19529413,34.199413
199907.0,Nugaal,0.295,33.59
199907.0,Sanaag,1.2844443,33.720554
199907.0,Sool,0.6058333,33.588333
199907.0,Togdheer,0.91099995,33.249
199907.0,Woqooyi Galbeed,1.545,35.349
199908.0,Awdal,1.9074999,38.0325
199908.0,Bakool,0.14375,35.448753
199908.0,Bari,1.465,35.865833
199908.0,Bay,0.35071427,35.42071
199908.0,Galgaduud,0.11294118,35.227646
199908.0,Gedo,0.27714285,35.39357
199908.0,Hiraan,0.04909091,36.269093
199908.0,Lower Juba,0.9241176,34.138824
199908.0,Lower Shabelle,0.166,33.760998
199908.0,Middle Juba,0.412,34.976
199908.0,Middle Shabelle,0.0019999999,32.226
199908.0,Mudug,0.14411764,35.161766
199908.0,Nugaal,0.31399998,34.608
199908.0,Sanaag,0.8211111,34.441666
199908.0,Sool,0.5575,35.05083
199908.0,Togdheer,0.752,34.248
199908.0,Woqooyi Galbeed,1.4360001,35.670002
199909.0,Awdal,0.6825,38.727497
199909.0,Bakool,0.23625,36.72625
199909.0,Bari,0.4920833,36.625416
199909.0,Bay,0.30571428,36.822857
199909.0,Galgaduud,0.1364706,36.947647
199909.0,Gedo,0.25714284,36.82143
199909.0,Hiraan,0.093636364,37.719997
199909.0,Lower Juba,0.28882352,35.48353
199909.0,Lower Shabelle,0.124999985,35.062996
199909.0,Middle Juba,0.072000004,36.48
199909.0,Middle Shabelle,0.030000001,33.934
199909.0,Mudug,0.16352941,36.812355
199909.0,Nugaal,0.302,36.041
199909.0,Sanaag,0.47166666,35.318333
199909.0,Sool,0.59166664,36.384167
199909.0,Togdheer,0.618,35.816998
199909.0,Woqooyi Galbeed,0.425,36.758
199910.0,Awdal,1.0325,35.3125
199910.0,Bakool,3.0525,35.471252
199910.0,Bari,1.7191668,34.209583
199910.0,Bay,3.5257142,35.75357
199910.0,Galgaduud,1.7782353,35.11059
199910.0,Gedo,2.24,36.74643
199910.0,Hiraan,2.4127274,36.179996
199910.0,Lower Juba,0.98176473,35.96
199910.0,Lower Shabelle,2.9290001,34.181
199910.0,Middle Juba,2.3579998,36.288002
199910.0,Middle Shabelle,2.01,33.086
199910.0,Mudug,1.5241176,34.45353
199910.0,Nugaal,1.126,33.925
199910.0,Sanaag,0.6483333,32.959446
199910.0,Sool,1.1466666,33.905834
199910.0,Togdheer,1.093,33.476
199910.0,Woqooyi Galbeed,0.83199996,34.224
199911.0,Awdal,0.26999998,33.3675
199911.0,Bakool,2.21375,34.511246
199911.0,Bari,0.05125,32.400833
199911.0,Bay,3.3621428,35.294285
199911.0,Galgaduud,0.8788235,35.285297
199911.0,Gedo,2.4521427,36.245716
199911.0,Hiraan,1.4945455,36.12182
199911.0,Lower Juba,2.7229412,36.35941
199911.0,Lower Shabelle,2.8849998,35.191998
199911.0,Middle Juba,3.042,36.07
199911.0,Middle Shabelle,1.3560001,34.366
199911.0,Mudug,0.7570588,34.43353
199911.0,Nugaal,0.248,34.131
199911.0,Sanaag,0.06277777,32.429443
199911.0,Sool,0.085,34.450832
199911.0,Togdheer,0.091000006,33.578
199911.0,Woqooyi Galbeed,0.117,32.755
199912.0,Awdal,0.155,29.61
199912.0,Bakool,0.113749996,34.677498
199912.0,Bari,0.012916666,30.140417
199912.0,Bay,0.34285712,36.412144
199912.0,Galgaduud,0.027058825,34.89294
199912.0,Gedo,0.47499996,36.703575
199912.0,Hiraan,0.04363636,35.86091
199912.0,Lower Juba,1.2776471,36.312943
199912.0,Lower Shabelle,0.275,35.775997
199912.0,Middle Juba,0.71,36.836
199912.0,Middle Shabelle,0.074,34.012
199912.0,Mudug,0.0135294115,34.300587
199912.0,Nugaal,0.015000001,32.981
199912.0,Sanaag,0.034999996,29.646667
199912.0,Sool,0.0041666664,32.734165
199912.0,Togdheer,0.019,32.16
199912.0,Woqooyi Galbeed,0.117,29.264002
199913.0,Awdal,0.98,41.07
199913.0,Bakool,1.1324999,38.58
199913.0,Bari,0.59208333,38.300415
199913.0,Bay,1.515,40.092857
199913.0,Galgaduud,0.71823525,37.852352
