index,time,admin1,conflicts,TA,PA,DL
51,2001-04-16,Hiraan,0.0,0.19257734516186384,0.06491161457704402,1
52,2001-05-16,Hiraan,0.0,-0.1030390319836257,-0.18309542623203465,0
53,2001-06-16,Hiraan,0.0,-0.32031649776783905,0.07598561645826991,0
54,2001-07-16,Hiraan,0.0,-0.43309754735671496,0.2943474227877028,0
55,2001-08-16,Hiraan,0.0,-0.3514272593018168,1.4043773987716446,0
56,2001-09-16,Hiraan,0.0,-0.10647822048194423,1.3316917616177275,0
57,2001-10-16,Hiraan,2.0,0.03298641867784413,1.1484106620655414,1
58,2001-11-16,Hiraan,2.0,0.17117120177320597,-0.021516572761894243,2
59,2001-12-16,Hiraan,0.0,0.46279537664730813,-0.18881592928924365,3
60,2002-01-16,Hiraan,0.0,-0.16487734231351692,-0.07730625414276504,0
61,2002-02-15,Hiraan,0.0,-0.12421511818406804,0.11701991987572517,0
62,2002-03-16,Hiraan,0.0,-0.21108745216288996,0.06140319531226853,0
63,2002-04-16,Hiraan,0.0,0.08787694364671665,0.06544780608838215,1
64,2002-05-16,Hiraan,0.0,0.7210495741844865,-0.06548040627348334,2
